ccaa;gender;diputado;grupo;partido;provincia;legislatura;cargo;handle;;twitter account;;Partido gobierno autonomico;gobierno_auto;gobierno_central;
AND;1; Sánchez Rubio, María Josefa;Socialista;PSOE;GRANADA;X; ;;;mjsanchezrubio;;PSOE;1;0;
AND;0; Sánchez Teruel, José Luis;Socialista;PSOE;ALMERÍA;X; ;;;sanchezteruel;;PSOE;1;0;
AND;0; Sánchez Villaverde, Antonio;Socialista;PSOE;CÓRDOBA;X; ;;;;;PSOE;1;0;
AND;1; Segura Martínez, Adela;Socialista;PSOE;ALMERÍA;X; ;;;;;PSOE;1;0;
AND;1; Serrano Reyes, Manuela;Socialista;PSOE;HUELVA;X; ;;;;;PSOE;1;0;
AND;0; Torrico Pozuelo, Miguel Ángel;Popular Andaluz;PP;CÓRDOBA;X; ;;;matorrico67;;PSOE;0;1;
AND;0; Valero Rodríguez, Rafael Vicente;Popular Andaluz;PP;GRANADA;X; ;;;;;PSOE;0;1;
AND;0; Vargas Ramos, Francisco José;Socialista;PSOE;MÁLAGA;X; ;;;fcovargasramos;;PSOE;1;0;
AND;1; Velasco González, Carmen Dolores;Socialista;PSOE;SEVILLA;X; ;;;carmen_loli;;PSOE;1;0;
AND;0; Venzal Contreras, Pablo José;Popular Andaluz;PP;ALMERÍA;X; ;;;VenzalPablo;;PSOE;0;1;
AND;0; Viedma Quesada, Jacinto Jesús;Socialista;PSOE;JAÉN;X; ;;;;;PSOE;1;0;
AST;0;Alonso Alonso, Rafael ;GP Popular;PP;ÚNICA;X;;;;;;PSOE;0;1;
AST;1;Álvarez Campillo, María Dolores ;GP Socialista;PSOE;ÚNICA;X;;;;doloresxllanes;;PSOE;1;0;
AST;1;Carcedo García, María Dolores ;GP Socialista;PSOE;ÚNICA;X;;;;;;PSOE;1;0;
AST;1;Coto de la Mata, Cristina ;GP Foro Asturias;FORO ASTURIAS;ÚNICA;X;;;;;;PSOE;0;0;
AST;0;Cuervas-Mons García-Braga, José Agustín ;GP Popular;PP;ÚNICA;X;Vicepresidente 2º Mesa;;;;;PSOE;0;1;
AST;0;de Rueda Gallardo, Pedro ;GP Popular;PP;ÚNICA;X;;;;derueda_pp;;PSOE;0;1;
AST;1;Devesa Castaño, Nuria ;GP Socialista;PSOE;ÚNICA;X;;;;NuriaLangreo;;PSOE;1;0;
AST;1;Espiño Castellanos, Rosa María ;Podemos Asturies;PODEMOS;ÚNICA;X;Secretaria Segunda;;;Rosaespcas;;PSOE;0;0;
AST;0;Fernández Bartolomé, Luis Armando ;GP Ciudadanos;CIUDADANOS;ÚNICA;X;;;;;;PSOE;0;0;
AST;0;Fernández Fernández, Javier ;GP Socialista;PSOE;ÚNICA;X;;;;javier_asturias;;PSOE;1;0;
AST;1;Fernández Gómez, María del Carmen ;GP Foro Asturias;FORO ASTURIAS;ÚNICA;X;;;;;;PSOE;0;0;
AST;1;Fernández González, María Mercedes ;GP Popular;PP;ÚNICA;X;;;;cherines_pp;;PSOE;0;1;
AST;0;Fernández Vilanova, Andrés ;Podemos Asturies;PODEMOS;ÚNICA;X;;;;andrespuela;;PSOE;0;0;
AST;1;García Fernández, María Gloria ;GP Popular;PP;ÚNICA;X;;;;GloriaGarciaFdz;;PSOE;0;1;
AST;0;García Fernández, Nicanor ;GP Ciudadanos;CIUDADANOS;ÚNICA;X;;;;CanorGarcia;;PSOE;0;0;
AST;1;Gil Álvarez, Lorena María ;Podemos Asturies;PODEMOS;ÚNICA;X;;;;LorenaGilAlvarz;;PSOE;0;0;
AST;1;Gómez Alonso, María Fe ;GP Popular;PP;ÚNICA;X;;;;;;PSOE;0;1;
AST;0;González Medina, David ;GP Popular;PP;ÚNICA;X;;;;medina_dg;;PSOE;0;1;
AST;0;Gutiérrez Escandón, José Marcos ;GP Socialista;PSOE;ÚNICA;X;;;;;;PSOE;1;0;
AST;0;Gutiérrez García, Jesús ;GP Socialista;PSOE;ÚNICA;X;;;;chushueria;;PSOE;1;0;
