ccaa;gender;diputado;grupo;partido;provincia;legislatura;cargo;handle;;twitter account;;;
AND;0; Pizarro Medina, Luis;Socialista;PSOE;CÁDIZ;X; ;;;;;;
AND;1; Prieto Bonilla, María Carmen ;NO ADSCRITOS;;MÁLAGA;X;;;;paxtoine;;;
AND;1; Ramírez Moreno, María Nieves;Socialista;PSOE;MÁLAGA;X; ;;;MNievesRamirez;;;
AND;0; Raynaud Soto, Jaime;Popular Andaluz;PP;SEVILLA;X; ;;;Jaime_raynaud;;;
AND;1; Redondo Calvillo, María de la O;Popular Andaluz;PP;CÓRDOBA;X; ;;;mdelaoredondo;;;
AND;1; Redondo Crespo, Natividad;Socialista;PSOE;JAÉN;X; ;;;;;;
AND;0; Rodríguez González, Jesús;Podemos Andalucía;PODEMOS;CÁDIZ;X; ;;;JesusRodr_;;;
AND;1; Rodríguez-Rubio Vázquez, María Teresa;Podemos Andalucía;PODEMOS;CÁDIZ;X;Portavoz ;;;TeresaRodr_;;;
AND;0; Romero Jiménez, Sergio;Ciudadanos;CIUDADANOS;CÁDIZ;X;Portavoz Adjunto ;;;sergioromeroj;;;
AND;1; Romero Mojarro, Modesta;Socialista;PSOE;HUELVA;X; ;;;;;;
AND;0; Romero Moreno, Félix;Popular Andaluz;PP;MÁLAGA;X; ;;;_FelixRomero;;;
AND;0; Romero Sánchez, Jesús;Podemos Andalucía;PODEMOS;HUELVA;X;Presidente de Grupo Parlamentario ;;;jromerosanchez1;;;
AND;1; Rubiño Yáñez, Beatriz;Socialista;PSOE;MÁLAGA;X; ;;;brubinoyanez;;;
AND;1; Ruiz Castro, Noelia;Socialista;PSOE;CÁDIZ;X;Portavoz Adjunta ;;;Noelia_Ruiz;;;
AND;0; Ruiz García, Jesús María;Socialista;PSOE;CÓRDOBA;X; ;;;jesusmaria_ruiz;;;
AND;1; Ruiz Navarro, Sonia María;Socialista;PSOE;CÓRDOBA;X; ;;;Sonia_R_Navarro;;;
AND;1; Ruiz Rodríguez, Gema del Rocío;Socialista;PSOE;MÁLAGA;X; ;;;gema__ruiz;;;
AND;1; Ruiz-Sillero Bernal, María Teresa;Popular Andaluz;PP;CÁDIZ;X; ;;;TereRuizSillero;;;
AND;0; Saldaña Moreno, Antonio;Popular Andaluz;PP;CÁDIZ;X; ;;;AntonioSaldanaM;;;
AND;0; Sánchez Haro, Rodrigo;Socialista;PSOE;ALMERÍA;X; ;;;rodrigosanhar;;;
AND;1; Sánchez Rubio, María Josefa;Socialista;PSOE;GRANADA;X; ;;;mjsanchezrubio;;;
AND;0; Sánchez Teruel, José Luis;Socialista;PSOE;ALMERÍA;X; ;;;sanchezteruel;;;
AND;0; Sánchez Villaverde, Antonio;Socialista;PSOE;CÓRDOBA;X; ;;;;;;
AND;1; Segura Martínez, Adela;Socialista;PSOE;ALMERÍA;X; ;;;;;;
AND;1; Serrano Reyes, Manuela;Socialista;PSOE;HUELVA;X; ;;;;;;
AND;0; Torrico Pozuelo, Miguel Ángel;Popular Andaluz;PP;CÓRDOBA;X; ;;;matorrico67;;;
AND;0; Valero Rodríguez, Rafael Vicente;Popular Andaluz;PP;GRANADA;X; ;;;;;;
AND;0; Vargas Ramos, Francisco José;Socialista;PSOE;MÁLAGA;X; ;;;fcovargasramos;;;
AND;1; Velasco González, Carmen Dolores;Socialista;PSOE;SEVILLA;X; ;;;carmen_loli;;;
AND;0; Venzal Contreras, Pablo José;Popular Andaluz;PP;ALMERÍA;X; ;;;VenzalPablo;;;
AND;0; Viedma Quesada, Jacinto Jesús;Socialista;PSOE;JAÉN;X; ;;;;;;
AST;0;Alonso Alonso, Rafael ;GP Popular;PP;ÚNICA;X;;;;;;;
AST;1;Álvarez Campillo, María Dolores ;GP Socialista;PSOE;ÚNICA;X;;;;doloresxllanes;;;
AST;1;Carcedo García, María Dolores ;GP Socialista;PSOE;ÚNICA;X;;;;;;;
AST;1;Coto de la Mata, Cristina ;GP Foro Asturias;FORO ASTURIAS;ÚNICA;X;;;;;;;
AST;0;Cuervas-Mons García-Braga, José Agustín ;GP Popular;PP;ÚNICA;X;Vicepresidente 2º Mesa;;;;;;
AST;0;de Rueda Gallardo, Pedro ;GP Popular;PP;ÚNICA;X;;;;derueda_pp;;;
AST;1;Devesa Castaño, Nuria ;GP Socialista;PSOE;ÚNICA;X;;;;NuriaLangreo;;;
AST;1;Espiño Castellanos, Rosa María ;Podemos Asturies;PODEMOS;ÚNICA;X;Secretaria Segunda;;;Rosaespcas;;;
AST;0;Fernández Bartolomé, Luis Armando ;GP Ciudadanos;CIUDADANOS;ÚNICA;X;;;;;;;
AST;0;Fernández Fernández, Javier ;GP Socialista;PSOE;ÚNICA;X;;;;javier_asturias;;;
AST;1;Fernández Gómez, María del Carmen ;GP Foro Asturias;FORO ASTURIAS;ÚNICA;X;;;;;;;
